T [K] - Wyniki	P [W] - Wyniki	T [K] - Krzywa dopasowania	P [W] - Krzywa dopasowania	
		1739,38	0,0010387	
		1740,38	0,00104107	
		1741,38	0,00104345	
		1742,38	0,00104583	
		1743,38	0,00104821	
		1744,38	0,0010506	
		1745,38	0,00105299	
		1746,38	0,00105539	
		1747,38	0,00105779	
		1748,38	0,0010602	
		1749,38	0,00106261	
		1750,38	0,00106502	
		1751,38	0,00106744	
		1752,38	0,00106986	
		1753,38	0,00107229	
		1754,38	0,00107472	
		1755,38	0,00107715	
		1756,38	0,00107959	
		1757,38	0,00108203	
		1758,38	0,00108448	
		1759,38	0,00108693	
		1760,38	0,00108938	
		1761,38	0,00109184	
		1762,38	0,00109431	
		1763,38	0,00109677	
		1764,38	0,00109924	
		1765,38	0,00110172	
		1766,38	0,0011042	
		1767,38	0,00110668	
		1768,38	0,00110917	
		1769,38	0,00111166	
		1770,38	0,00111416	
		1771,38	0,00111666	
		1772,38	0,00111917	
		1773,38	0,00112168	
		1774,38	0,00112419	
		1775,38	0,00112671	
		1776,38	0,00112923	
		1777,38	0,00113175	
		1778,38	0,00113428	
		1779,38	0,00113682	
		1780,38	0,00113936	
		1781,38	0,0011419	
		1782,38	0,00114445	
		1783,38	0,001147	
		1784,38	0,00114955	
		1785,38	0,00115211	
		1786,38	0,00115468	
		1787,38	0,00115725	
		1788,38	0,00115982	
		1789,38	0,0011624	
		1790,38	0,00116498	
		1791,38	0,00116756	
		1792,38	0,00117015	
		1793,38	0,00117275	
		1794,38	0,00117535	
		1795,38	0,00117795	
		1796,38	0,00118056	
		1797,38	0,00118317	
		1798,38	0,00118578	
		1799,38	0,0011884	
		1800,38	0,00119103	
		1801,38	0,00119366	
		1802,38	0,00119629	
		1803,38	0,00119893	
		1804,38	0,00120157	
		1805,38	0,00120421	
		1806,38	0,00120686	
		1807,38	0,00120952	
		1808,38	0,00121218	
		1809,38	0,00121484	
		1810,38	0,00121751	
		1811,38	0,00122018	
		1812,38	0,00122286	
		1813,38	0,00122554	
		1814,38	0,00122822	
		1815,38	0,00123091	
		1816,38	0,00123361	
		1817,38	0,00123631	
		1818,38	0,00123901	
		1819,38	0,00124172	
		1820,38	0,00124443	
		1821,38	0,00124715	
		1822,38	0,00124987	
		1823,38	0,00125259	
		1824,38	0,00125532	
		1825,38	0,00125806	
		1826,38	0,00126079	
		1827,38	0,00126354	
		1828,38	0,00126628	
		1829,38	0,00126904	
		1830,38	0,00127179	
		1831,38	0,00127455	
		1832,38	0,00127732	
		1833,38	0,00128009	
		1834,38	0,00128286	
		1835,38	0,00128564	
		1836,38	0,00128842	
